id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.58,9.8035,9.8132,51051,46953,Pipistrellus pipistrellus,0.509
1,0.52,9.8975,9.9075,51473,46953,Pipistrellus pipistrellus,0.469
2,0.525,10.0465,10.055,53923,46953,Pipistrellus pipistrellus,0.517
3,0.635,10.1345,10.1415,58392,47812,Pipistrellus pipistrellus,0.622
4,0.55,10.2625,10.2727,52840,46953,Pipistrellus pipistrellus,0.537
5,0.466,10.3485,10.3567,54770,46953,Pipistrellus pipistrellus,0.456
6,0.644,10.4385,10.446,57074,46953,Pipistrellus pipistrellus,0.635
7,0.468,10.5325,10.5432,52982,46953,Pipistrellus pipistrellus,0.461
8,0.54,10.6285,10.6384,55178,46953,Pipistrellus pipistrellus,0.528
9,0.728,10.7165,10.7239,58173,47812,Pipistrellus pipistrellus,0.705
10,0.631,10.8005,10.8084,58915,47812,Pipistrellus pipistrellus,0.621
11,0.709,10.8825,10.8889,63791,47812,Pipistrellus pipistrellus,0.702
12,0.656,10.9725,10.9791,61099,46953,Pipistrellus pipistrellus,0.65
13,0.718,11.0655,11.0721,62707,47812,Pipistrellus pipistrellus,0.714
14,0.656,11.1535,11.1606,65383,46093,Pipistrellus pipistrellus,0.649
15,0.647,11.2355,11.2431,59503,46953,Pipistrellus pipistrellus,0.637
16,0.766,11.3205,11.3283,70992,46953,Pipistrellus pipistrellus,0.738
17,0.679,11.4545,11.4623,64729,46953,Pipistrellus pipistrellus,0.67
18,0.697,11.5365,11.5437,66184,47812,Pipistrellus pipistrellus,0.681
19,0.745,11.6245,11.6319,67404,46953,Pipistrellus pipistrellus,0.728
20,0.709,11.7775,11.7877,68060,46953,Pipistrellus pipistrellus,0.696
21,0.725,11.8705,11.8788,71183,46953,Pipistrellus pipistrellus,0.654
22,0.736,11.9565,11.9663,68920,46093,Pipistrellus pipistrellus,0.724
23,0.756,12.0415,12.0483,70775,46953,Pipistrellus pipistrellus,0.742
24,0.631,12.1305,12.1391,68405,46093,Pipistrellus pipistrellus,0.616
25,0.717,12.2805,12.2895,68051,46953,Pipistrellus pipistrellus,0.616
26,0.619,12.3785,12.3861,60910,46953,Pipistrellus pipistrellus,0.612
27,0.795,12.4625,12.4696,67663,46093,Pipistrellus pipistrellus,0.785
28,0.739,12.6015,12.608,55733,45234,Pipistrellus pipistrellus,0.733
29,0.747,12.7255,12.732,55724,44375,Pipistrellus pipistrellus,0.738
30,0.735,12.8155,12.8233,58441,47812,Pipistrellus pipistrellus,0.699
31,0.719,12.9775,12.9843,59206,46953,Pipistrellus pipistrellus,0.708
32,0.6,13.1335,13.1442,51612,45234,Pipistrellus pipistrellus,0.574
33,0.673,13.2415,13.2485,60394,46953,Pipistrellus pipistrellus,0.634
34,0.653,13.3245,13.3337,53765,46093,Pipistrellus pipistrellus,0.633
35,0.764,13.4955,13.5033,59359,46093,Pipistrellus pipistrellus,0.744
36,0.688,13.5905,13.5984,56564,46093,Pipistrellus pipistrellus,0.673
37,0.806,13.7535,13.7602,58209,46093,Pipistrellus pipistrellus,0.799
38,0.781,13.8495,13.8562,58268,46953,Pipistrellus pipistrellus,0.77
39,0.739,13.9405,13.9477,59318,45234,Pipistrellus pipistrellus,0.734
40,0.691,14.0945,14.103,54511,46093,Pipistrellus pipistrellus,0.672
41,0.673,14.2005,14.2093,54901,46093,Pipistrellus pipistrellus,0.665
42,0.81,14.3605,14.3677,55512,46093,Pipistrellus pipistrellus,0.794
43,0.785,14.4335,14.4398,57829,46093,Pipistrellus pipistrellus,0.773
44,0.734,14.5355,14.5437,55580,45234,Pipistrellus pipistrellus,0.725
45,0.776,14.6265,14.6331,53869,46093,Pipistrellus pipistrellus,0.771
46,0.668,14.8245,14.8324,52941,45234,Pipistrellus pipistrellus,0.656
47,0.705,14.9135,14.9222,52379,45234,Pipistrellus pipistrellus,0.692
