id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.795,0.1455,0.1554,44115,37500,Pipistrellus nathusii,0.779
1,0.842,0.3715,0.381,44135,37500,Pipistrellus nathusii,0.837
2,0.823,0.5425,0.552,43778,37500,Pipistrellus nathusii,0.816
3,0.836,0.7745,0.7827,44247,37500,Pipistrellus nathusii,0.833
4,0.832,0.9655,0.9747,42903,37500,Pipistrellus nathusii,0.829
5,0.832,1.1805,1.1906,43385,37500,Pipistrellus nathusii,0.827
6,0.808,1.3025,1.311,44865,38359,Pipistrellus nathusii,0.805
7,0.878,1.4535,1.4635,43798,37500,Pipistrellus nathusii,0.876
8,0.842,1.6795,1.6896,43307,37500,Pipistrellus nathusii,0.84
9,0.819,1.9395,1.9487,42576,36640,Pipistrellus nathusii,0.812
10,0.865,2.1725,2.1826,43113,37500,Pipistrellus nathusii,0.862
11,0.801,2.4225,2.4328,42343,36640,Pipistrellus nathusii,0.792
12,0.737,2.6585,2.6698,42546,36640,Pipistrellus nathusii,0.714
13,0.759,2.8315,2.8417,42362,35781,Pipistrellus nathusii,0.751
14,0.754,2.9945,3.0053,41455,36640,Pipistrellus nathusii,0.746
15,0.774,3.1565,3.1685,42248,36640,Pipistrellus nathusii,0.764
16,0.856,3.2975,3.3097,42764,37500,Pipistrellus nathusii,0.846
17,0.849,3.4495,3.4602,45267,37500,Pipistrellus nathusii,0.844
18,0.878,3.5475,3.5582,47741,37500,Pipistrellus nathusii,0.874
19,0.857,3.6985,3.7074,52162,37500,Pipistrellus nathusii,0.85
20,0.867,3.8595,3.8678,49099,38359,Pipistrellus nathusii,0.859
21,0.854,3.9495,3.9569,52913,39218,Pipistrellus nathusii,0.844
22,0.779,4.0395,4.0473,49312,38359,Pipistrellus nathusii,0.772
23,0.823,4.1185,4.126,57385,39218,Pipistrellus nathusii,0.782
24,0.785,4.1925,4.1994,52761,38359,Pipistrellus nathusii,0.771
25,0.768,4.2575,4.2646,56467,38359,Pipistrellus nathusii,0.732
26,0.719,4.3085,4.315,56902,38359,Pipistrellus nathusii,0.675
27,0.712,4.3545,4.3612,57479,40078,Pipistrellus nathusii,0.655
28,0.467,4.3985,4.4037,56794,36640,Pipistrellus nathusii,0.323
29,0.865,5.0075,5.0177,43752,37500,Pipistrellus nathusii,0.86
30,0.802,5.2755,5.2849,43342,36640,Pipistrellus nathusii,0.794
31,0.794,5.5175,5.5276,42228,36640,Pipistrellus nathusii,0.786
32,0.851,5.7635,5.7731,43324,37500,Pipistrellus nathusii,0.847
33,0.553,6.1055,6.1184,40205,35781,Pipistrellus nathusii,0.494
34,0.782,6.3435,6.3536,41817,36640,Pipistrellus nathusii,0.772
35,0.709,6.5915,6.6042,42034,36640,Pipistrellus nathusii,0.704
36,0.621,6.8375,6.8479,40398,36640,Pipistrellus nathusii,0.608
37,0.593,7.0435,7.0553,41218,35781,Pipistrellus nathusii,0.573
38,0.671,7.2785,7.2869,41488,35781,Pipistrellus nathusii,0.657
39,0.592,7.6145,7.6246,40105,35781,Pipistrellus nathusii,0.585
40,0.643,7.8345,7.8449,40796,35781,Pipistrellus nathusii,0.612
41,0.636,7.9845,7.9951,40792,35781,Pipistrellus nathusii,0.593
42,0.76,8.2215,8.2336,40458,35781,Pipistrellus nathusii,0.735
43,0.783,8.4445,8.4532,42049,36640,Pipistrellus nathusii,0.774
44,0.722,8.5705,8.5796,41688,36640,Pipistrellus nathusii,0.7
45,0.796,8.8065,8.8155,42755,36640,Pipistrellus nathusii,0.789
46,0.777,9.0525,9.0628,41508,36640,Pipistrellus nathusii,0.749
47,0.658,9.2025,9.2137,40823,35781,Pipistrellus nathusii,0.611
48,0.764,9.4335,9.4424,42256,36640,Pipistrellus nathusii,0.744
49,0.764,9.5575,9.5658,44159,37500,Pipistrellus nathusii,0.746
50,0.581,9.7925,9.803,42316,37500,Pipistrellus nathusii,0.533
51,0.706,9.9065,9.913,45087,37500,Pipistrellus nathusii,0.688
52,0.661,10.1235,10.1327,43284,37500,Pipistrellus nathusii,0.536
53,0.621,10.2475,10.256,43162,36640,Pipistrellus nathusii,0.54
54,0.625,10.4555,10.4643,44493,38359,Pipistrellus nathusii,0.56
55,0.633,10.6895,10.6976,44176,37500,Pipistrellus nathusii,0.604
56,0.701,10.9345,10.9436,43992,37500,Pipistrellus nathusii,0.628
57,0.648,11.2295,11.2378,45064,38359,Pipistrellus nathusii,0.601
58,0.647,11.4635,11.473,43630,37500,Pipistrellus nathusii,0.609
