id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.459,0.1555,0.1591,41981,28046,Myotis nattereri,0.199
1,0.413,0.2555,0.2591,50787,32343,Myotis nattereri,0.215
2,0.47,0.5285,0.532,48561,28906,Myotis nattereri,0.249
3,0.478,0.5545,0.5578,44748,26328,Myotis nattereri,0.278
4,0.406,0.6655,0.6693,48075,28046,Myotis nattereri,0.252
5,0.407,0.8025,0.807,45652,26328,Myotis nattereri,0.236
6,0.402,1.5575,1.5614,41532,29765,Plecotus austriacus,0.139
7,0.479,2.0495,2.0536,48330,26328,Myotis nattereri,0.342
8,0.495,2.4555,2.4588,47646,23750,Myotis nattereri,0.398
9,0.43,3.3015,3.3052,45744,24609,Myotis nattereri,0.251
10,0.424,3.3445,3.3481,41525,27187,Plecotus austriacus,0.179
11,0.408,4.4895,4.4929,48092,27187,Myotis nattereri,0.294
12,0.459,5.2925,5.2964,42776,23750,Myotis nattereri,0.255
13,0.521,5.4305,5.4337,44569,25468,Myotis nattereri,0.275
14,0.431,7.7045,7.7083,52990,26328,Myotis nattereri,0.363
15,0.413,8.4265,8.4303,41230,26328,Plecotus austriacus,0.211
16,0.472,8.5655,8.5693,44904,28906,Myotis nattereri,0.211
17,0.487,8.6605,8.664,39859,25468,Plecotus austriacus,0.3
18,0.452,9.5535,9.5564,48937,28046,Myotis nattereri,0.27
19,0.493,10.3395,10.3442,45386,27187,Myotis daubentonii,0.177
20,0.441,10.4775,10.4808,50782,28046,Myotis nattereri,0.261
21,0.454,10.6125,10.6165,40188,26328,Myotis nattereri,0.187
22,0.571,10.7545,10.7588,50787,26328,Myotis nattereri,0.385
23,0.517,12.5125,12.5153,45606,25468,Myotis nattereri,0.343
24,0.412,12.8465,12.8495,54993,34062,Myotis mystacinus,0.18
25,0.443,12.9675,12.9711,60007,46093,Myotis mystacinus,0.304
