id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.622,0.0045,0.0132,29680,16875,Eptesicus serotinus,0.394
1,0.663,0.0705,0.0748,56142,44375,Pipistrellus pipistrellus,0.596
2,0.678,0.1765,0.1828,54668,44375,Pipistrellus pipistrellus,0.529
3,0.758,0.2775,0.2841,52664,43515,Pipistrellus pipistrellus,0.626
4,0.788,0.3765,0.3827,54306,43515,Pipistrellus pipistrellus,0.617
5,0.62,0.6285,0.6358,52380,42656,Pipistrellus nathusii,0.326
6,0.403,0.8265,0.8377,48326,40937,Pipistrellus nathusii,0.351
7,0.488,0.9435,0.9513,47784,42656,Pipistrellus nathusii,0.383
8,0.63,1.0135,1.0221,48625,41796,Pipistrellus nathusii,0.476
9,0.637,1.1155,1.1219,53268,42656,Pipistrellus nathusii,0.357
10,0.715,1.1565,1.164,52132,41796,Pipistrellus nathusii,0.635
11,0.669,1.2205,1.2283,51029,43515,Pipistrellus pipistrellus,0.447
12,0.63,1.2745,1.2816,52325,42656,Pipistrellus nathusii,0.359
13,0.638,1.3895,1.3956,49573,42656,Pipistrellus nathusii,0.385
14,0.696,1.4435,1.4504,49452,41796,Pipistrellus nathusii,0.585
15,0.674,1.5045,1.5111,50691,43515,Pipistrellus pipistrellus,0.389
16,0.626,1.5575,1.5653,47757,40937,Pipistrellus nathusii,0.579
17,0.757,1.6635,1.6712,52969,40937,Pipistrellus nathusii,0.691
18,0.684,1.8405,1.847,53403,42656,Pipistrellus nathusii,0.391
19,0.775,1.9125,1.9186,62446,43515,Pipistrellus pipistrellus,0.55
20,0.677,1.9835,1.99,51971,41796,Pipistrellus nathusii,0.605
21,0.764,2.0655,2.0731,60765,42656,Pipistrellus pipistrellus,0.483
22,0.689,2.1435,2.1508,40832,22890,Eptesicus serotinus,0.256
23,0.531,2.1595,2.1697,32612,24609,Nyctalus leisleri,0.325
24,0.711,2.1805,2.1909,32983,26328,Nyctalus leisleri,0.606
25,0.609,2.3165,2.3236,48757,42656,Pipistrellus nathusii,0.386
26,0.693,2.3635,2.3715,54602,41796,Pipistrellus nathusii,0.506
27,0.637,2.5405,2.5474,57605,41796,Pipistrellus nathusii,0.393
28,0.635,2.6015,2.6079,51741,43515,Pipistrellus pipistrellus,0.558
29,0.611,2.7205,2.7279,52163,43515,Pipistrellus pipistrellus,0.408
30,0.513,2.8025,2.8084,52535,44375,Pipistrellus pipistrellus,0.486
31,0.573,2.8205,2.8283,49088,43515,Pipistrellus pipistrellus,0.531
32,0.67,2.9385,2.9464,51748,42656,Pipistrellus pipistrellus,0.464
33,0.612,3.0275,3.0329,53164,43515,Pipistrellus pipistrellus,0.52
34,0.705,3.0455,3.0519,53180,43515,Pipistrellus pipistrellus,0.592
35,0.597,3.1255,3.1319,49162,41796,Pipistrellus nathusii,0.388
36,0.419,3.1595,3.1667,48143,42656,Pipistrellus pipistrellus,0.349
37,0.651,3.1895,3.1976,49991,43515,Pipistrellus pipistrellus,0.395
38,0.647,3.3045,3.3108,52962,43515,Pipistrellus pipistrellus,0.573
39,0.695,3.4155,3.4227,52602,43515,Pipistrellus pipistrellus,0.469
40,0.658,3.5255,3.5347,53486,42656,Pipistrellus pipistrellus,0.428
41,0.586,3.6195,3.6298,55111,43515,Pipistrellus pipistrellus,0.47
