id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.729,0.0795,0.0854,63749,46953,Pipistrellus pipistrellus,0.709
1,0.695,0.1575,0.1649,60498,46953,Pipistrellus pipistrellus,0.668
2,0.675,0.2385,0.2452,61966,46953,Pipistrellus pipistrellus,0.661
3,0.639,0.3165,0.3228,58383,46953,Pipistrellus pipistrellus,0.609
4,0.688,0.6055,0.6118,54307,46093,Pipistrellus pipistrellus,0.667
5,0.611,0.6945,0.7048,54871,45234,Pipistrellus pipistrellus,0.522
6,0.528,0.7795,0.7901,52335,45234,Pipistrellus pipistrellus,0.515
7,0.611,0.8695,0.8778,59738,46093,Pipistrellus pipistrellus,0.576
8,0.656,0.9415,0.9494,55234,46093,Pipistrellus pipistrellus,0.634
9,0.495,1.0175,1.027,57035,45234,Pipistrellus pipistrellus,0.474
10,0.503,1.0655,1.0727,58468,44375,Pipistrellus pipistrellus,0.486
11,0.551,1.0965,1.1059,54612,45234,Pipistrellus pipistrellus,0.525
12,0.588,1.1535,1.1607,58349,46093,Pipistrellus pipistrellus,0.562
13,0.466,1.1935,1.2029,58688,46093,Pipistrellus pipistrellus,0.444
14,0.571,1.2665,1.2743,56130,46093,Pipistrellus pipistrellus,0.542
15,0.683,1.3015,1.3078,60864,46093,Pipistrellus pipistrellus,0.648
16,0.617,1.3555,1.3639,57908,46093,Pipistrellus pipistrellus,0.59
17,0.565,1.3995,1.4051,56372,46953,Pipistrellus pipistrellus,0.556
18,0.605,1.4525,1.461,54629,46093,Pipistrellus pipistrellus,0.592
19,0.72,1.5015,1.5085,59887,46093,Pipistrellus pipistrellus,0.658
20,0.613,1.5565,1.5649,57575,46953,Pipistrellus pipistrellus,0.605
21,0.579,1.6555,1.6662,55376,46093,Pipistrellus pipistrellus,0.55
22,0.602,1.7445,1.7538,59763,46093,Pipistrellus pipistrellus,0.54
23,0.606,1.8355,1.8452,59652,46093,Pipistrellus pipistrellus,0.572
24,0.635,1.8935,1.903,57181,46093,Pipistrellus pipistrellus,0.621
25,0.596,2.0035,2.0127,60269,45234,Pipistrellus pipistrellus,0.582
26,0.601,2.1065,2.1166,64766,45234,Pipistrellus pipistrellus,0.554
27,0.522,2.1755,2.1837,64690,46953,Pipistrellus pipistrellus,0.503
28,0.597,2.2465,2.2568,65543,45234,Pipistrellus pipistrellus,0.567
29,0.696,2.3345,2.343,66422,45234,Pipistrellus pipistrellus,0.591
30,0.668,2.4255,2.4342,66502,46093,Pipistrellus pipistrellus,0.645
31,0.627,2.5125,2.5202,68320,45234,Pipistrellus pipistrellus,0.572
32,0.67,2.6065,2.6131,68037,45234,Pipistrellus pipistrellus,0.661
33,0.628,2.6965,2.707,61190,45234,Pipistrellus pipistrellus,0.611
34,0.688,2.7735,2.7813,63697,45234,Pipistrellus pipistrellus,0.653
35,0.71,2.8455,2.8529,63363,46093,Pipistrellus pipistrellus,0.679
36,0.754,2.9195,2.926,70334,45234,Pipistrellus pipistrellus,0.742
37,0.7,2.9905,2.9964,71496,44375,Pipistrellus pipistrellus,0.689
38,0.545,3.0715,3.0802,64609,45234,Pipistrellus pipistrellus,0.521
39,0.52,3.1125,3.1191,63241,47812,Pipistrellus pipistrellus,0.491
40,0.457,3.1245,3.132,61326,45234,Pipistrellus pipistrellus,0.437
41,0.467,3.1715,3.183,58170,46093,Pipistrellus pipistrellus,0.409
42,0.623,3.1895,3.1954,68361,47812,Pipistrellus pipistrellus,0.609
43,0.489,3.2335,3.2433,59781,46093,Pipistrellus pipistrellus,0.466
44,0.618,3.2545,3.2605,63205,47812,Pipistrellus pipistrellus,0.605
45,0.467,3.2965,3.305,60579,46093,Pipistrellus pipistrellus,0.45
46,0.615,3.3435,3.352,60872,46093,Pipistrellus pipistrellus,0.568
47,0.521,3.3925,3.4021,61296,46953,Pipistrellus pipistrellus,0.508
48,0.601,3.4345,3.4421,60758,46953,Pipistrellus pipistrellus,0.578
49,0.616,3.5045,3.5121,64157,46093,Pipistrellus pipistrellus,0.6
50,0.625,3.5245,3.5321,58850,46093,Pipistrellus pipistrellus,0.54
51,0.557,3.5825,3.5928,64792,46093,Pipistrellus pipistrellus,0.533
52,0.673,3.6115,3.6172,60571,46953,Pipistrellus pipistrellus,0.65
53,0.641,3.6585,3.6669,68054,46953,Pipistrellus pipistrellus,0.575
54,0.705,3.7005,3.7066,66414,46953,Pipistrellus pipistrellus,0.674
55,0.716,3.7265,3.7328,70085,45234,Pipistrellus pipistrellus,0.696
56,0.694,3.7755,3.7814,70200,46953,Pipistrellus pipistrellus,0.684
57,0.629,3.7965,3.8035,63899,46093,Pipistrellus pipistrellus,0.607
58,0.624,3.8495,3.8573,63333,46093,Pipistrellus pipistrellus,0.556
59,0.679,3.8735,3.8789,63312,47812,Pipistrellus pipistrellus,0.667
60,0.64,3.9605,3.968,63871,46953,Pipistrellus pipistrellus,0.623
61,0.667,4.0475,4.0554,62762,46953,Pipistrellus pipistrellus,0.64
62,0.58,4.1215,4.1268,76330,42656,Pipistrellus pipistrellus,0.259
63,0.621,4.1385,4.1463,55107,46953,Pipistrellus pipistrellus,0.611
64,0.441,4.1525,4.1579,75985,43515,Pipistrellus pipistrellus,0.274
65,0.573,4.1705,4.1761,83409,44375,Pipistrellus pipistrellus,0.438
66,0.499,4.1975,4.2042,86159,41796,Pipistrellus pipistrellus,0.213
67,0.441,4.2275,4.2322,65403,43515,Pipistrellus pipistrellus,0.424
68,0.498,4.2345,4.2445,54000,46953,Pipistrellus pipistrellus,0.473
69,0.449,4.2745,4.2805,84229,40937,Pipistrellus pipistrellus,0.144
70,0.427,4.3015,4.3069,81477,40937,Pipistrellus pipistrellus,0.102
71,0.633,4.3155,4.3213,67856,46093,Pipistrellus pipistrellus,0.621
72,0.706,4.5165,4.5213,68793,47812,Pipistrellus pipistrellus,0.697
73,0.696,4.6115,4.6162,71676,47812,Pipistrellus pipistrellus,0.687
74,0.645,4.6235,4.6308,65687,46953,Pipistrellus pipistrellus,0.614
75,0.58,4.6625,4.6682,71884,45234,Pipistrellus pipistrellus,0.557
76,0.759,4.6975,4.7023,71585,47812,Pipistrellus pipistrellus,0.747
77,0.546,4.7155,4.7199,69828,46093,Pipistrellus pipistrellus,0.526
78,0.702,4.7665,4.7732,85281,43515,Pipistrellus pipistrellus,0.664
79,0.597,4.7965,4.8021,77244,41796,Pipistrellus pipistrellus,0.206
80,0.568,4.8185,4.8237,73715,46953,Pipistrellus pipistrellus,0.559
81,0.783,4.8835,4.8892,79376,47812,Pipistrellus pipistrellus,0.777
82,0.706,4.9485,4.954,78854,47812,Pipistrellus pipistrellus,0.699
83,0.669,4.9915,4.9971,78329,44375,Pipistrellus pipistrellus,0.652
84,0.695,5.0585,5.0646,70628,46953,Pipistrellus pipistrellus,0.686
85,0.765,5.1295,5.1349,71855,46953,Pipistrellus pipistrellus,0.753
86,0.77,5.1685,5.1739,76029,46953,Pipistrellus pipistrellus,0.761
87,0.523,5.1785,5.1831,67780,46953,Pipistrellus pipistrellus,0.512
88,0.676,5.2325,5.2371,63779,47812,Pipistrellus pipistrellus,0.668
89,0.748,5.2685,5.2748,65939,46093,Pipistrellus pipistrellus,0.703
90,0.532,5.2775,5.2834,68290,46093,Pipistrellus pipistrellus,0.519
91,0.525,5.2975,5.304,63570,47812,Pipistrellus pipistrellus,0.509
92,0.666,5.3745,5.3803,62977,46953,Pipistrellus pipistrellus,0.635
