id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.713,0.2455,0.2543,44118,38359,Pipistrellus nathusii,0.708
1,0.731,0.4995,0.5081,44608,37500,Pipistrellus nathusii,0.72
2,0.782,0.6695,0.6788,44679,37500,Pipistrellus nathusii,0.773
3,0.781,0.8295,0.8381,45790,38359,Pipistrellus nathusii,0.769
4,0.828,1.0865,1.0941,45316,37500,Pipistrellus nathusii,0.822
5,0.836,1.3455,1.3535,47544,36640,Pipistrellus nathusii,0.817
6,0.806,1.5185,1.5264,47310,37500,Pipistrellus nathusii,0.794
7,0.861,1.7745,1.7822,45478,37500,Pipistrellus nathusii,0.858
8,0.783,1.9485,1.9575,43728,36640,Pipistrellus nathusii,0.757
9,0.833,2.0315,2.0392,48160,38359,Pipistrellus nathusii,0.827
10,0.638,2.0985,2.1085,45064,38359,Pipistrellus nathusii,0.622
11,0.722,2.1655,2.1737,51443,39218,Pipistrellus nathusii,0.712
12,0.844,2.2575,2.2649,52222,38359,Pipistrellus nathusii,0.839
13,0.797,2.3665,2.3746,44709,36640,Pipistrellus nathusii,0.789
14,0.822,2.5515,2.5596,47152,38359,Pipistrellus nathusii,0.818
15,0.757,2.8175,2.8255,48128,37500,Pipistrellus nathusii,0.75
16,0.742,2.9965,3.0073,42569,36640,Pipistrellus nathusii,0.734
17,0.639,3.2565,3.2671,43587,36640,Pipistrellus nathusii,0.63
18,0.751,3.5925,3.6047,42980,36640,Pipistrellus nathusii,0.747
19,0.755,3.7685,3.7792,43071,36640,Pipistrellus nathusii,0.741
20,0.628,4.0225,4.0368,41971,36640,Pipistrellus nathusii,0.598
21,0.488,4.3745,4.3895,40394,35781,Pipistrellus nathusii,0.47
22,0.531,4.5565,4.5732,38235,35781,Pipistrellus nathusii,0.328
23,0.406,4.8185,4.835,39866,35781,Pipistrellus nathusii,0.331
24,0.451,5.0885,5.1096,38535,34921,Nyctalus leisleri,0.261
25,0.48,5.3685,5.3869,39302,35781,Pipistrellus nathusii,0.237
26,0.56,5.6385,5.6548,38302,34921,Nyctalus leisleri,0.303
27,0.42,5.8965,5.918,38326,34921,Nyctalus leisleri,0.185
28,0.401,6.3565,6.3752,38847,35781,Pipistrellus nathusii,0.204
