id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.461,0.2905,0.2935,48772,23750,Myotis nattereri,0.363
1,0.414,0.6765,0.6803,51187,30625,Myotis daubentonii,0.325
2,0.401,1.3315,1.3353,52397,35781,Myotis daubentonii,0.264
3,0.475,1.4135,1.4174,44037,28046,Myotis daubentonii,0.264
4,0.495,2.2145,2.2179,47100,27187,Myotis nattereri,0.294
5,0.445,2.3065,2.3101,42985,22031,Myotis nattereri,0.252
6,0.509,2.3545,2.3575,57316,23750,Myotis nattereri,0.465
7,0.47,2.4645,2.4679,42888,27187,Plecotus austriacus,0.189
8,0.608,2.5135,2.5167,49858,27187,Myotis nattereri,0.41
9,0.405,3.0505,3.054,54827,34921,Myotis nattereri,0.162
10,0.404,3.8295,3.8328,58182,42656,Myotis mystacinus,0.215
11,0.44,6.9455,6.9489,54215,30625,Myotis nattereri,0.273
12,0.477,8.9895,8.9931,43531,26328,Myotis nattereri,0.234
13,0.47,10.6885,10.692,57946,42656,Myotis mystacinus,0.242
