id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.626,2.7245,2.7357,42025,37500,Pipistrellus nathusii,0.583
1,0.641,3.0525,3.0636,41138,36640,Pipistrellus nathusii,0.559
2,0.456,3.2015,3.2141,41463,38359,Pipistrellus nathusii,0.446
3,0.642,3.3735,3.3855,41234,36640,Pipistrellus nathusii,0.599
4,0.447,3.6015,3.6133,41929,38359,Pipistrellus nathusii,0.427
5,0.626,3.6305,3.6444,39854,35781,Pipistrellus nathusii,0.311
6,0.552,3.9275,3.94,42612,38359,Pipistrellus nathusii,0.525
7,0.643,3.9465,3.957,42522,37500,Pipistrellus nathusii,0.557
8,0.651,4.1595,4.1718,41632,36640,Pipistrellus nathusii,0.641
9,0.506,4.3765,4.3898,39220,35781,Pipistrellus nathusii,0.485
10,0.713,4.5615,4.5736,40940,36640,Pipistrellus nathusii,0.685
11,0.738,4.6125,4.6236,43428,38359,Pipistrellus nathusii,0.731
12,0.654,4.7635,4.7783,39376,35781,Pipistrellus nathusii,0.497
13,0.787,4.9215,4.9317,44452,38359,Pipistrellus nathusii,0.778
14,0.824,5.0645,5.0753,42180,36640,Pipistrellus nathusii,0.813
15,0.66,5.2775,5.2886,43014,38359,Pipistrellus nathusii,0.654
16,0.59,5.2905,5.3022,40340,35781,Pipistrellus nathusii,0.582
17,0.867,5.3765,5.3852,47566,38359,Pipistrellus nathusii,0.861
18,0.776,5.4415,5.4503,46559,38359,Pipistrellus nathusii,0.75
19,0.783,5.5025,5.5114,47560,37500,Pipistrellus nathusii,0.76
20,0.796,5.5655,5.576,44291,38359,Pipistrellus nathusii,0.789
21,0.646,5.5775,5.5874,47476,38359,Pipistrellus nathusii,0.604
22,0.733,5.6725,5.6846,40426,35781,Pipistrellus nathusii,0.714
23,0.817,5.7585,5.7691,43060,37500,Pipistrellus nathusii,0.813
24,0.804,5.8765,5.8874,42180,36640,Pipistrellus nathusii,0.8
25,0.787,6.0135,6.024,43170,37500,Pipistrellus nathusii,0.781
26,0.724,6.2075,6.2203,39699,34921,Pipistrellus nathusii,0.563
27,0.834,6.3475,6.3578,44201,38359,Pipistrellus nathusii,0.83
28,0.753,6.5285,6.5408,40759,35781,Pipistrellus nathusii,0.717
29,0.818,6.6595,6.6702,44029,38359,Pipistrellus nathusii,0.812
30,0.543,6.7855,6.7906,33199,14296,Plecotus auritus,0.51
31,0.718,6.8115,6.8225,43149,38359,Pipistrellus nathusii,0.69
32,0.801,7.0335,7.0444,42894,37500,Pipistrellus nathusii,0.798
33,0.789,7.1475,7.1585,42241,36640,Pipistrellus nathusii,0.77
34,0.725,7.1805,7.1914,42246,37500,Pipistrellus nathusii,0.72
35,0.771,7.3575,7.3686,42314,37500,Pipistrellus nathusii,0.765
36,0.747,7.4405,7.4521,40854,35781,Pipistrellus nathusii,0.729
37,0.67,7.5945,7.6068,41689,37500,Pipistrellus nathusii,0.649
38,0.571,7.7135,7.7267,40214,35781,Pipistrellus nathusii,0.539
39,0.673,7.8655,7.8767,41664,37500,Pipistrellus nathusii,0.665
40,0.551,8.0205,8.0317,40418,35781,Pipistrellus nathusii,0.489
41,0.602,8.1585,8.1705,41422,37500,Pipistrellus nathusii,0.483
42,0.637,8.2295,8.2415,38922,34921,Pipistrellus nathusii,0.268
43,0.536,8.3765,8.39,39787,36640,Pipistrellus nathusii,0.502
44,0.646,8.5265,8.5382,40285,35781,Pipistrellus nathusii,0.248
45,0.594,8.6765,8.6892,40647,36640,Pipistrellus nathusii,0.555
46,0.6,8.8645,8.8775,40262,35781,Pipistrellus nathusii,0.435
47,0.422,8.9115,8.9256,40072,37500,Pipistrellus nathusii,0.39
48,0.544,9.2025,9.2149,40698,36640,Pipistrellus nathusii,0.507
49,0.648,9.2945,9.3049,42311,37500,Pipistrellus nathusii,0.605
50,0.421,9.9205,9.9322,40826,36640,Pipistrellus nathusii,0.396
