id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.561,0.0985,0.1031,52242,34921,Myotis daubentonii,0.542
1,0.466,0.2815,0.2865,54602,30625,Myotis daubentonii,0.456
2,0.643,0.4785,0.4833,51761,33203,Myotis daubentonii,0.626
3,0.597,0.5685,0.5739,54943,30625,Myotis daubentonii,0.581
4,0.487,0.8625,0.8674,52774,31484,Myotis daubentonii,0.479
5,0.608,0.9615,0.9664,52611,31484,Myotis daubentonii,0.596
6,0.556,1.0575,1.0627,53669,32343,Myotis daubentonii,0.543
7,0.597,1.2485,1.254,57443,27187,Myotis daubentonii,0.583
8,0.578,1.3455,1.351,53904,30625,Myotis daubentonii,0.567
9,0.546,1.5465,1.5523,56900,31484,Myotis daubentonii,0.533
10,0.506,1.6505,1.6557,53164,29765,Myotis daubentonii,0.492
11,0.598,1.7465,1.7525,57083,28906,Myotis daubentonii,0.587
12,0.551,1.9585,1.9635,55034,31484,Myotis daubentonii,0.542
13,0.636,2.1455,2.1512,60352,28906,Myotis daubentonii,0.628
14,0.591,2.2605,2.2659,57504,30625,Myotis daubentonii,0.587
15,0.581,2.4585,2.4646,57693,29765,Myotis daubentonii,0.577
16,0.542,2.6655,2.6713,53692,32343,Myotis daubentonii,0.536
17,0.629,2.8555,2.8616,60646,28906,Myotis daubentonii,0.624
18,0.583,3.0705,3.0757,55622,30625,Myotis daubentonii,0.578
19,0.652,3.1805,3.1871,58009,28046,Myotis daubentonii,0.648
20,0.58,3.3915,3.3969,53512,29765,Myotis daubentonii,0.572
21,0.609,3.4835,3.4883,53536,30625,Myotis daubentonii,0.601
22,0.511,3.5615,3.5661,55307,29765,Myotis daubentonii,0.503
23,0.587,3.6705,3.6765,57378,28046,Myotis daubentonii,0.581
24,0.565,3.9715,3.9764,55419,28906,Myotis daubentonii,0.557
25,0.54,4.0725,4.0767,46813,31484,Myotis daubentonii,0.423
26,0.518,4.2825,4.2872,49950,28046,Myotis daubentonii,0.419
27,0.525,4.5795,4.5843,48597,29765,Myotis daubentonii,0.422
28,0.535,4.6885,4.6922,45727,32343,Myotis daubentonii,0.41
29,0.576,4.8895,4.8934,45936,28906,Myotis daubentonii,0.445
30,0.505,5.0845,5.088,44061,33203,Myotis daubentonii,0.389
31,0.543,5.1845,5.1891,47663,28906,Myotis daubentonii,0.428
32,0.524,5.2865,5.2912,47411,28906,Myotis daubentonii,0.389
33,0.431,5.6035,5.6084,44441,34921,Myotis daubentonii,0.246
