id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.402,0.0905,0.097,63494,40937,Myotis daubentonii,0.259
1,0.4,0.2725,0.2793,63368,40937,Myotis daubentonii,0.285
2,0.445,0.3695,0.3759,65614,41796,Myotis daubentonii,0.225
3,0.514,0.4635,0.4697,66166,39218,Myotis daubentonii,0.386
4,0.521,0.5475,0.5531,73392,38359,Myotis daubentonii,0.377
5,0.42,0.7185,0.7257,69395,40937,Myotis daubentonii,0.284
6,0.541,0.8175,0.8244,71546,40078,Myotis daubentonii,0.3
7,0.574,0.9935,1.0005,75366,37500,Myotis daubentonii,0.422
8,0.505,1.1695,1.1762,73984,40078,Myotis daubentonii,0.223
9,0.524,1.3485,1.3551,79357,35781,Myotis daubentonii,0.389
10,0.541,1.4465,1.4542,80589,37500,Myotis daubentonii,0.413
11,0.583,1.6295,1.6369,82031,34921,Myotis daubentonii,0.482
12,0.618,1.7315,1.7389,79719,34921,Myotis daubentonii,0.469
13,0.628,1.8265,1.834,82760,33203,Myotis daubentonii,0.461
14,0.6,2.0035,2.011,79043,36640,Myotis daubentonii,0.54
15,0.626,2.1145,2.1221,83267,34921,Myotis daubentonii,0.547
16,0.54,2.2115,2.2191,80394,38359,Myotis daubentonii,0.47
17,0.629,2.3275,2.3348,83770,35781,Myotis daubentonii,0.578
18,0.557,2.4255,2.432,79245,38359,Myotis daubentonii,0.494
19,0.651,2.5325,2.5393,80039,34921,Myotis daubentonii,0.607
20,0.609,2.6155,2.6223,79875,35781,Myotis daubentonii,0.574
21,0.669,2.7295,2.7363,78120,36640,Myotis daubentonii,0.601
22,0.417,2.8125,2.8204,73980,40937,Myotis daubentonii,0.311
23,0.622,2.9015,2.9086,76870,35781,Myotis daubentonii,0.555
24,0.671,2.9935,2.9987,68385,36640,Myotis daubentonii,0.585
25,0.672,3.0885,3.095,74765,35781,Myotis daubentonii,0.615
26,0.594,3.1745,3.1797,70719,36640,Myotis daubentonii,0.497
27,0.671,3.2615,3.2682,73968,34062,Myotis daubentonii,0.606
28,0.522,3.3435,3.3494,72327,36640,Myotis daubentonii,0.435
29,0.643,3.4655,3.4717,73952,35781,Myotis daubentonii,0.597
30,0.625,3.6635,3.6699,73675,35781,Myotis daubentonii,0.574
31,0.525,3.9375,3.9433,67395,37500,Myotis daubentonii,0.425
32,0.447,4.0325,4.0372,64417,41796,Myotis daubentonii,0.284
33,0.539,4.0915,4.0954,57228,34921,Myotis daubentonii,0.323
34,0.49,4.1375,4.1423,62318,34921,Myotis daubentonii,0.297
35,0.53,4.2165,4.2217,66569,36640,Myotis daubentonii,0.293
36,0.542,4.2985,4.3026,57940,41796,Myotis daubentonii,0.31
37,0.468,4.3985,4.4035,62940,40078,Myotis daubentonii,0.28
38,0.48,4.4925,4.4968,57879,41796,Myotis daubentonii,0.316
39,0.543,4.5855,4.5897,57538,40937,Myotis daubentonii,0.332
40,0.48,4.6595,4.6637,53950,41796,Myotis daubentonii,0.288
41,0.472,4.7665,4.7707,59681,40078,Myotis daubentonii,0.333
42,0.524,4.9455,4.9507,58932,42656,Pipistrellus nathusii,0.25
43,0.533,5.0385,5.0426,60738,40078,Myotis daubentonii,0.328
44,0.555,5.1405,5.1447,55796,40937,Myotis daubentonii,0.333
45,0.518,5.3335,5.3383,58483,43515,Myotis daubentonii,0.286
46,0.469,5.5305,5.535,53692,40937,Myotis daubentonii,0.314
47,0.405,5.9055,5.9097,56614,39218,Myotis daubentonii,0.27
