id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.656,0.2815,0.2943,30942,22890,Eptesicus serotinus,0.303
1,0.722,0.5605,0.5725,36752,23750,Eptesicus serotinus,0.515
2,0.692,0.8485,0.8622,34609,22890,Eptesicus serotinus,0.518
3,0.753,1.1405,1.1548,37587,22890,Eptesicus serotinus,0.606
4,0.654,1.4295,1.4426,33582,22890,Eptesicus serotinus,0.44
5,0.723,1.7195,1.7336,36937,22890,Eptesicus serotinus,0.598
6,0.641,2.1465,2.1631,34064,22031,Eptesicus serotinus,0.444
7,0.639,2.3305,2.3443,31464,22890,Eptesicus serotinus,0.316
8,0.707,2.6175,2.6333,33935,22031,Eptesicus serotinus,0.458
9,0.641,2.9205,2.9348,30846,22031,Eptesicus serotinus,0.346
10,0.666,3.2205,3.2374,34531,22031,Eptesicus serotinus,0.479
11,0.634,3.5385,3.5523,29589,22031,Eptesicus serotinus,0.262
12,0.605,3.8395,3.8563,30871,22031,Eptesicus serotinus,0.312
13,0.622,4.1555,4.1732,29503,21171,Eptesicus serotinus,0.303
14,0.59,4.4745,4.4937,30344,21171,Eptesicus serotinus,0.318
15,0.685,4.7845,4.8006,34172,22031,Eptesicus serotinus,0.464
16,0.652,5.0845,5.1007,31979,22031,Eptesicus serotinus,0.37
17,0.675,5.3875,5.4062,31182,21171,Eptesicus serotinus,0.332
18,0.583,5.7225,5.7339,28107,22031,Nyctalus leisleri,0.292
19,0.648,6.0355,6.0514,29267,21171,Eptesicus serotinus,0.314
20,0.656,6.3515,6.3645,28841,22031,Nyctalus leisleri,0.233
21,0.575,6.9685,6.9874,28944,21171,Eptesicus serotinus,0.268
22,0.631,7.2945,7.3059,27710,22031,Nyctalus leisleri,0.293
23,0.644,7.5885,7.6032,29656,22031,Eptesicus serotinus,0.27
24,0.494,7.9265,7.9386,26374,22031,Nyctalus leisleri,0.357
25,0.633,8.2285,8.2421,29647,22031,Eptesicus serotinus,0.263
26,0.579,9.4655,9.4768,27716,22031,Nyctalus leisleri,0.203
