id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.521,0.0935,0.0986,54384,36640,Myotis daubentonii,0.481
1,0.491,0.2885,0.294,55114,36640,Myotis daubentonii,0.433
2,0.456,0.4865,0.4914,56029,35781,Myotis daubentonii,0.427
3,0.487,0.5885,0.5938,56707,33203,Myotis daubentonii,0.457
4,0.548,0.7795,0.7842,57455,36640,Myotis daubentonii,0.5
5,0.571,0.8835,0.8893,58570,34062,Myotis daubentonii,0.547
6,0.512,1.0735,1.0788,57830,31484,Myotis daubentonii,0.479
7,0.435,1.1845,1.1887,55601,35781,Myotis daubentonii,0.403
8,0.487,1.3765,1.3809,55390,34062,Myotis daubentonii,0.447
9,0.509,1.5735,1.5781,58201,35781,Myotis daubentonii,0.483
10,0.549,1.6755,1.681,55553,34062,Myotis daubentonii,0.512
11,0.515,1.8715,1.8764,57452,36640,Myotis daubentonii,0.465
12,0.522,1.9725,1.9779,59658,29765,Myotis daubentonii,0.493
13,0.599,2.2575,2.263,57638,29765,Myotis daubentonii,0.564
14,0.563,2.3625,2.367,54097,35781,Myotis daubentonii,0.523
15,0.474,2.5635,2.5684,57579,31484,Myotis daubentonii,0.448
16,0.582,2.6695,2.6737,51952,36640,Myotis daubentonii,0.53
17,0.486,2.8645,2.8692,54538,29765,Myotis daubentonii,0.459
18,0.525,2.9765,2.9812,50158,36640,Myotis daubentonii,0.486
19,0.523,3.1675,3.1729,54866,30625,Myotis daubentonii,0.487
20,0.561,3.2695,3.2742,52429,35781,Myotis daubentonii,0.525
21,0.516,3.4635,3.4687,55688,28906,Myotis daubentonii,0.489
22,0.476,3.6645,3.6691,48053,36640,Myotis daubentonii,0.426
23,0.542,3.7645,3.7691,51856,34921,Myotis daubentonii,0.491
24,0.486,3.9655,3.97,52113,34921,Myotis daubentonii,0.436
25,0.425,4.3425,4.3476,53775,31484,Myotis daubentonii,0.285
26,0.465,4.6415,4.647,52005,33203,Myotis daubentonii,0.226
27,0.515,4.9365,4.9413,50780,35781,Myotis daubentonii,0.272
28,0.441,5.2455,5.2497,46034,34921,Myotis daubentonii,0.262
29,0.404,6.1405,6.1457,47829,34921,Myotis daubentonii,0.197
