id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.648,0.0945,0.099,58368,38359,Myotis daubentonii,0.287
1,0.656,0.2605,0.2651,55757,37500,Myotis daubentonii,0.396
2,0.603,0.3525,0.3569,55171,37500,Myotis daubentonii,0.332
3,0.586,0.5165,0.5207,54668,36640,Myotis daubentonii,0.313
4,0.633,0.6145,0.6188,58729,36640,Myotis daubentonii,0.273
5,0.585,0.7825,0.7868,59775,36640,Myotis daubentonii,0.364
6,0.685,0.8765,0.8811,61440,35781,Myotis daubentonii,0.374
7,0.627,1.0425,1.0468,59243,36640,Myotis daubentonii,0.398
8,0.644,1.1415,1.146,58226,38359,Myotis daubentonii,0.343
9,0.64,1.3145,1.3188,58178,36640,Myotis daubentonii,0.365
10,0.588,1.4115,1.4159,59370,37500,Myotis daubentonii,0.284
11,0.555,1.5025,1.5064,53389,37500,Myotis nattereri,0.246
12,0.639,1.5975,1.6021,55478,37500,Myotis daubentonii,0.345
13,0.543,1.7775,1.7814,55866,37500,Myotis daubentonii,0.252
14,0.654,1.8855,1.8902,54014,36640,Myotis daubentonii,0.398
15,0.535,2.0625,2.0667,53900,37500,Myotis daubentonii,0.277
16,0.499,2.1595,2.1642,53923,36640,Myotis daubentonii,0.249
17,0.428,2.3465,2.3502,55459,36640,Myotis nattereri,0.112
18,0.413,2.4455,2.4486,52659,37500,Myotis daubentonii,0.144
