"tstart","file","result","buzz","path","passes","pass_thresh","exp","buzzprob","channel","minfreq","maxfreq","model"
5.254,"LAND1_20230625_002633.wav",1,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
3.242,"LAND10-LOT1_20230624_231020.wav",0.999666666666667,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
7.723,"LAND3_20230710_213315.wav",1,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
6.656,"LAND4_20230625_222921.wav",1,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
6.868,"LAND4_20230625_223259.wav",0.985433333333333,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
2.04,"LAND6-LOT1_20230819_032750.wav",0.998424630924631,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
2.432,"LAND7-LOT1_20230908_203144.wav",0.936966666666667,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
3.492,"LAND7-LOT1_20230908_203144.wav",1,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
4.867,"LAND7-LOT1_20230908_203144.wav",0.882274630924631,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
9.483,"LAND7-LOT1_20230908_203144.wav",0.892654329004329,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
11.263,"LAND8-LOT1_20230507_200529.wav",0.998533333333333,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
4.888,"LAND8-LOT1_20230508_195828.wav",1,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
4.177,"LAND9-LOT1_20230723_013850.wav",1,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
0.036,"REJSBY_20231105_173556.wav",0.934,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
5.414,"ROEMOE_20230810_213203.wav",1,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
0.104,"SKAGEN_20240103_211549.wav",0.958170995670996,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
0.718,"SKAGEN_20240103_211549.wav",0.889416666666667,"Buzz","analysis/data/buzz_detector/validation_data/audio/denmark","FALSE","FALSE",1,0.8,"left",20000,50000,"rf_TEST18(17_3_24)"
