"INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID*","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark","C:\Offline\aspot_bats\validation_kaleidoscope\denmark_out","","LAND8-LOT1_20230507_200529.wav","0","0","15","","","2023-05-07","20:05:29","20","2023-05-07","08:05:29","8","EPTSER","118","91","0.771","0.372714","VESMUR","","118","26.273","28.55","8.439","49.579","26.015","31.591","126.194","27.289","6.182","405.82","7.967","19.57","1","","","","","","8V2GndqDWQM8X2EjqpnHpw==","",""
"C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark","C:\Offline\aspot_bats\validation_kaleidoscope\denmark_out","","LAND4_20230625_222921.wav","0","0","15","","","2023-06-25","22:29:21","22","2023-06-25","10:29:21","10","EPTSER","66","55","0.833","0.542406","VESMUR","","66","26.741","47.92","5.994","48.924","26.248","32.047","162.64","27.878","4.576","467.72","5.703","15.42","1","","","","","","fuom0XTZTlfqpR025MbtfA==","",""
"C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark","C:\Offline\aspot_bats\validation_kaleidoscope\denmark_out","","LAND4_20230625_223259.wav","0","0","15","","","2023-06-25","22:32:59","22","2023-06-25","10:32:59","10","EPTSER","62","52","0.839","0.421115","VESMUR","MYOBEC","62","27.295","44.2","5.182","37.204","26.8","30.204","197.578","28.393","3.641","239.36","4.849","16.14","1","","","","","","GFcOlRdZwJ0awdmnukvuvg==","",""
"C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark","C:\Offline\aspot_bats\validation_kaleidoscope\denmark_out","","LAND3_20230530_211935.wav","0","0","14.146667","","","2023-05-30","21:19:35","21","2023-05-30","09:19:35","9","EPTSER","46","36","0.783","0.31445","VESMUR","","46","25.587","25.48","7.214","38.153","25.316","28.755","208.967","26.402","5.352","254.21","6.827","7.54","1","","","","","","42h5zEBDGioYr1YRkJcXUQ==","",""
"C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark","C:\Offline\aspot_bats\validation_kaleidoscope\denmark_out","","HUSBY_20250408_193929.wav","0","0","15","","","2025-04-08","19:39:29","19","2025-04-08","07:39:29","7","EPTSER","42","28","0.667","0.202982","NYCNOC","VESMUR","42","25.606","19.12","4.888","33.921","25.031","27.553","329.551","26.113","3.279","226.91","4.334","11.67","1","","","","","","CinOKazC+lw6YVqYeVQHag==","",""
"C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark","C:\Offline\aspot_bats\validation_kaleidoscope\denmark_out","","LAND5_20230708_232216.wav","0","0","11.885333","","","2023-07-08","23:22:16","23","2023-07-08","11:22:16","11","EPTSER","45","28","0.622","0.368773","EPTNIL","","45","28.187","61.61","6.748","54.766","27.55","34.151","178.354","29.769","5.062","525.15","6.377","13.9","1","","","","","","0LbExB8vKuT5hGxDcfX/NQ==","",""
"C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark","C:\Offline\aspot_bats\validation_kaleidoscope\denmark_out","","LAND8-LOT1_20230508_200613.wav","0","0","12.638667","","","2023-05-08","20:06:13","20","2023-05-08","08:06:13","8","EPTSER","56","27","0.482","0.50781","VESMUR","","56","28.03","69.27","4.675","60.116","27.97","36.044","160.149","29.501","3.626","584.97","4.641","12.06","1","","","","","","Zk/FpdDVaADX9xh1fyPbAw==","",""
"C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark","C:\Offline\aspot_bats\validation_kaleidoscope\denmark_out","","MANDO_20241008_230440.wav","0","0","13.278667","","","2024-10-08","23:04:40","23","2024-10-08","11:04:40","11","EPTSER","24","21","0.875","0.38102","VESMUR","","24","25.631","19.54","5.995","33.718","25.216","27.577","297.426","26.225","4.262","263.25","5.474","6.17","1","","","","","","OgzmuQq5bY1BHBPlBv3LiA==","",""
"C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark","C:\Offline\aspot_bats\validation_kaleidoscope\denmark_out","","BLAAVAND_20250320_212709.wav","0","0","12.224","","","2025-03-20","21:27:09","21","2025-03-20","09:27:09","9","EPTSER","23","19","0.826","0.413266","VESMUR","","23","26.414","26.04","7.331","41.863","26.145","29.991","308.181","27.305","5.172","357.54","6.969","6.06","1","","","","","","gshksGQqYypsQBCpYpzrDA==","",""
"C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark","C:\Offline\aspot_bats\validation_kaleidoscope\denmark_out","","LAND10-LOT1_20230629_012546.wav","0","0","14.768","","","2023-06-29","01:25:46","1","2023-06-28","13:25:46","13","EPTSER","13","8","0.615","0.12298","VESMUR","","13","26.767","34.91","2.898","31.472","26.078","27.889","419.704","27.408","1.731","240.54","2.379","5.88","1","","","","","","VE/jNobu6iTup2uBKn1bOQ==","",""
"C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark","C:\Offline\aspot_bats\validation_kaleidoscope\denmark_out","","LAND5_20230728_014558.wav","0","0","7.152","","","2023-07-28","01:45:58","1","2023-07-27","13:45:58","13","EPTSER","15","7","0.467","0.168008","MYOBEC","","15","31.022","77.1","4.768","44.008","29.287","34.87","289.297","34.064","3.143","209.83","4.355","4.15","1","","","","","","oNjH1DNJf3QvFcZESLy10A==","",""
