INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,BALLUM_20231201_064139.wav,5.018,2023-12-01,06:41:39,6,2023-11-30,18:41:39,18,55.06774,8.67996,SM4BAT-FS,S4U17627,2.4.6,BALLUM,,,,,,,1,,,,,,HpH7/y94IbgaCY/8NI1R4g==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,BALLUM_20241007_182653.wav,9.970667,2024-10-07,18:26:53,18,2024-10-07,06:26:53,6,55.06774,8.67996,SM4BAT-FS,S4U17627,2.4.8,BALLUM,,,,,,,1,,,,,,DZnabOTT4tHQ/zfvnCvhpw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,BALLUM_20241007_183104.wav,15,2024-10-07,18:31:04,18,2024-10-07,06:31:04,6,55.06774,8.67996,SM4BAT-FS,S4U17627,2.4.8,BALLUM,,,,,,,1,,,,,,H+wVatq1DbIWYRYnhgYpxw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,BALLUM_20241007_182705.wav,15,2024-10-07,18:27:05,18,2024-10-07,06:27:05,6,55.06774,8.67996,SM4BAT-FS,S4U17627,2.4.8,BALLUM,,,,,,,1,,,,,,1KybPGSxnpki55Ag8Gf3iw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,BALLUM_20241007_182834.wav,15,2024-10-07,18:28:34,18,2024-10-07,06:28:34,6,55.06774,8.67996,SM4BAT-FS,S4U17627,2.4.8,BALLUM,,,,,,,1,,,,,,aMMIvwNVeDs6zpluWUhDKQ==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,BALLUM_20241007_183157.wav,15,2024-10-07,18:31:57,18,2024-10-07,06:31:57,6,55.06774,8.67996,SM4BAT-FS,S4U17627,2.4.8,BALLUM,,,,,,,1,,,,,,6zR1KgcJOTaII+s6Uaem3Q==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,BALLUM_20241011_203009.wav,5.617333,2024-10-11,20:30:09,20,2024-10-11,08:30:09,8,55.06774,8.67996,SM4BAT-FS,S4U17627,2.4.8,BALLUM,,,,,,,1,,,,,,hiSNNpeA0/kmWpBItlJnBg==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,BLAAVAND_20230829_210617.wav,5.222667,2023-08-29,21:06:17,21,2023-08-29,09:06:17,9,55.55705,8.08675,SM4BAT-FS,S4U17581,2.4.6,BLAAVAND,,,,,,,1,,,,,,mJ5ObGsleki7dhI4+H3MJg==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,BALLUM_20241007_183236.wav,15,2024-10-07,18:32:36,18,2024-10-07,06:32:36,6,55.06774,8.67996,SM4BAT-FS,S4U17627,2.4.8,BALLUM,,,,,,,1,,,,,,1uJVuIy/5IjwsHfqHwRqbw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,BALLUM_20241007_183326.wav,13.129333,2024-10-07,18:33:26,18,2024-10-07,06:33:26,6,55.06774,8.67996,SM4BAT-FS,S4U17627,2.4.8,BALLUM,,,,,,,1,,,,,,ydutzwWl9dJ6hJmZU10fpA==
