Dossier;Fichier;Id;Contact;Groupe;IGp;Espece;ISp;Annee;Mois;Jour;Heure;Minute;Date;Temps;Date_nuit;Lieu;NbCris;Fdom;IntMed;Iqual;Ics;Ibuz;Fmin;X_WGS84;Y_WGS84;
F:/denmark/denmark;BALLUM_20241007_182653.wav;Pipnat;Principale;Pipnat;8;Pipnat;7;2024;10;07;18;26;07/10/2024;18:26;07/10/2024;BALLUM;5;40;166;7;0;0;39;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241007_183104.wav;ChiroSp;Principale;Pip50;4;PippiT;4;2024;10;07;18;31;07/10/2024;18:31;07/10/2024;BALLUM;4;21;0;6;10;0;18;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241007_183104.wav;PippiT;Principale;Pip50;10;PippiT;10;2024;10;07;18;31;07/10/2024;18:31;07/10/2024;BALLUM;26;25;0;8;10;0;19;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241007_183104.wav;PippiT;Principale;Pip50;10;PippiT;10;2024;10;07;18;31;07/10/2024;18:31;07/10/2024;BALLUM;26;47;0;8;9;0;47;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241007_183157.wav;parasi;Principale;parasi;10;parasi;10;2024;10;07;18;31;07/10/2024;18:31;07/10/2024;BALLUM;0;0;0;0;0;0;0;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241007_183157.wav;parasi;Principale;parasi;2;parasi;2;2024;10;07;18;31;07/10/2024;18:31;07/10/2024;BALLUM;1;38;4178;1;0;0;35;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241007_183157.wav;PippiT;Principale;Pip50;10;PippiT;10;2024;10;07;18;31;07/10/2024;18:31;07/10/2024;BALLUM;59;47;75;6;6;0;47;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241007_183326.wav;PippiT;Principale;Pip50;10;PippiT;10;2024;10;07;18;33;07/10/2024;18:33;07/10/2024;BALLUM;50;48;0;7;6;0;47;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241007_183326.wav;PippiT;Principale;Pip50;9;PippiT;9;2024;10;07;18;33;07/10/2024;18:33;07/10/2024;BALLUM;7;24;0;6;9;0;20;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241007_182834.wav;parasi;Principale;parasi;10;parasi;10;2024;10;07;18;28;07/10/2024;18:28;07/10/2024;BALLUM;0;0;0;0;0;0;0;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241007_182834.wav;PippiT;Principale;Pip50;10;PippiT;10;2024;10;07;18;28;07/10/2024;18:28;07/10/2024;BALLUM;37;47;0;6;7;0;47;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241007_182834.wav;PippiT;Principale;Pip50;10;PippiT;10;2024;10;07;18;28;07/10/2024;18:28;07/10/2024;BALLUM;48;48;0;7;6;0;47;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241011_203009.wav;PippiT;Principale;Pip50;6;PippiT;6;2024;10;11;20;30;11/10/2024;20:30;11/10/2024;BALLUM;7;44;93;6;0;0;43;0.000000;0.000000;
F:/denmark/denmark;BALLUM_20241011_203009.wav;parasi;Principale;parasi;10;parasi;10;2024;10;11;20;30;11/10/2024;20:30;11/10/2024;BALLUM;0;0;0;0;0;0;0;0.000000;0.000000;
F:/denmark/denmark;BLAAVAND_20230829_190438.wav;Myosp;Principale;Myosp;7;Myodau;0;2023;08;29;19;04;29/08/2023;19:04;29/08/2023;BLAAVAND;74;43;56;5;3;0;32;0.000000;0.000000;
F:/denmark/denmark;BLAAVAND_20230829_190438.wav;Myosp;Principale;Myosp;10;Myomys;0;2023;08;29;19;04;29/08/2023;19:04;29/08/2023;BLAAVAND;56;44;52;6;2;0;30;0.000000;0.000000;
